disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
4734,2023-08-31T00:00:00.000Z,HURRICANE IDALIA,2023-08-27T00:00:00.000Z,2023-09-04T00:00:00.000Z,Major Disaster,FL,Florida                       ,Hurricane,2023-08-31T00:00:00.000Z,2023-10-02T00:00:00.000Z,,4,1,0,1,1,7039b9e8-8e40-411a-b3bd-ecb27b37d535,b2327cb14c124443d7e00b898be990718576195f,2023-10-02T22:21:25.390Z
4738,2023-09-07T00:00:00.000Z,HURRICANE IDALIA,2023-08-30T00:00:00.000Z,2023-08-30T00:00:00.000Z,Major Disaster,GA,Georgia                       ,Hurricane,2023-09-07T00:00:00.000Z,2023-10-02T00:00:00.000Z,,4,1,0,1,1,6f1316f1-788f-4763-9bc5-3c5d47e65f55,3b10fdf0c825cd0bc81e6f83955c85d9b32057e5,2023-10-02T22:41:25.957Z
4744,2023-10-06T00:00:00.000Z,SEVERE STORMS AND FLOODING,2023-08-03T00:00:00.000Z,2023-08-05T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Flood,2023-10-06T00:00:00.000Z,2023-10-06T00:00:00.000Z,,1,0,0,1,1,f8a460e1-772c-4efe-91c3-bd7eed5df61e,314ca84418ff5016ef5c0fc7a1e32a6106b7e18b,2023-10-06T16:41:28.824Z
4745,2023-10-11T00:00:00.000Z,FLOODING,2023-06-01T00:00:00.000Z,2023-06-08T00:00:00.000Z,Major Disaster,MT,Montana                       ,Flood,2023-10-11T00:00:00.000Z,2023-10-11T00:00:00.000Z,,8,0,0,1,1,889564e8-549a-4123-88ba-a1d9b7b0261b,96fe8a62931b20e70e8a1779545c9467c66d29f8,2023-10-11T22:02:12.546Z
3404,2018-09-12T00:00:00.000Z,TROPICAL STORM OLIVIA,2018-09-09T00:00:00.000Z,2018-09-13T00:00:00.000Z,Emergency,HI,Hawaii                        ,Hurricane,2018-09-12T00:00:00.000Z,2023-10-12T00:00:00.000Z,2023-10-11T00:00:00.000Z,9,0,0,1,0,5aa4296a-7d77-430f-a513-b7a433f6d305,87732b7d7d5a424fad84c04f5edf0bff4e860f50,2023-10-12T11:21:25.048Z
3399,2018-08-22T00:00:00.000Z,HURRICANE LANE,2018-08-22T00:00:00.000Z,2018-08-29T00:00:00.000Z,Emergency,HI,Hawaii                        ,Hurricane,2018-08-23T00:00:00.000Z,2023-10-12T00:00:00.000Z,2023-10-11T00:00:00.000Z,9,0,0,1,0,959fd13c-d628-455d-8df4-5d839289afad,149440622f66c6197abfbc31417550236e54bcea,2023-10-12T11:21:25.048Z
4120,2013-06-13T00:00:00.000Z,SEVERE STORMS AND FLOODING,2013-05-22T00:00:00.000Z,2013-05-26T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Flood,2013-06-13T00:00:00.000Z,2023-10-12T00:00:00.000Z,2023-10-12T00:00:00.000Z,1,0,0,1,1,1adc7fb0-a4e9-4b24-aa99-12795afd8db9,ba0031ea1e59d034353bb35988409811a8d3d0ed,2023-10-12T19:21:31.165Z
4724,2023-08-10T00:00:00.000Z,WILDFIRES AND HIGH WINDS,2023-08-08T00:00:00.000Z,2023-09-30T00:00:00.000Z,Major Disaster,HI,Hawaii                        ,Fire,2023-08-10T00:00:00.000Z,2023-10-13T00:00:00.000Z,,9,1,0,1,1,414e6e36-0509-4c7d-837d-96473bb028d6,1dbffe5cfd0b51ad3b248515ead16c21081fe080,2023-10-13T22:02:33.496Z
4288,2016-10-20T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND MUDSLIDES",2016-09-21T00:00:00.000Z,2016-09-22T00:00:00.000Z,Major Disaster,WI,Wisconsin                     ,Flood,2016-10-20T00:00:00.000Z,2023-10-17T00:00:00.000Z,2023-10-16T00:00:00.000Z,5,0,0,1,1,eda795c7-596e-42a9-b49c-efeff21b609e,5192013fdd74fa3f4bbcfe6cfc740a2cb4d04f46,2023-10-17T11:21:29.500Z
4746,2023-10-18T00:00:00.000Z,TROPICAL STORM HILARY,2023-08-19T00:00:00.000Z,2023-08-21T00:00:00.000Z,Major Disaster,CA,California                    ,Tropical Storm,2023-10-19T00:00:00.000Z,2023-10-19T00:00:00.000Z,,9,0,0,1,1,89786b24-a951-4efb-af21-e56a17c7bacf,15844d42ae83f8f297b158dd653c1fdfc84dc007,2023-10-19T00:41:28.621Z
4728,2023-08-15T00:00:00.000Z,SEVERE STORMS AND FLOODING,2023-06-29T00:00:00.000Z,2023-07-02T00:00:00.000Z,Major Disaster,IL,Illinois                      ,Severe Storm,2023-08-15T00:00:00.000Z,2023-10-23T00:00:00.000Z,,5,1,0,1,1,e3106fdd-ea51-48c0-b7df-0f9799797cd5,09315f108d2ee259f3a8e3d2710d6e72826a0fd7,2023-10-23T21:02:38.667Z
4740,2023-09-14T00:00:00.000Z,SEVERE STORMS AND FLOODING,2023-07-09T00:00:00.000Z,2023-07-17T00:00:00.000Z,Major Disaster,NH,New Hampshire                 ,Flood,2023-09-15T00:00:00.000Z,2023-10-24T00:00:00.000Z,,1,0,0,1,1,d3ab5ca0-78f4-402e-8c31-faf0c66b887b,078c96fbdb59ce2021611fc6302af7a4a1fbbff3,2023-10-24T23:02:09.437Z
4673,2022-09-29T00:00:00.000Z,HURRICANE IAN,2022-09-23T00:00:00.000Z,2022-11-04T00:00:00.000Z,Major Disaster,FL,Florida                       ,Hurricane,2022-09-29T00:00:00.000Z,2023-10-25T00:00:00.000Z,,4,1,0,1,1,5d64e66d-9cfa-4953-a08f-32b1ea2ad88c,8f8a44b5b9e907c73d2474b2e143d88026cfe3af,2023-10-25T20:21:27.429Z
1968,2011-04-18T00:00:00.000Z,TSUNAMI WAVES,2011-03-11T00:00:00.000Z,2011-03-11T00:00:00.000Z,Major Disaster,CA,California                    ,Tsunami,2011-04-18T00:00:00.000Z,2023-10-26T00:00:00.000Z,2023-10-26T00:00:00.000Z,9,0,0,1,1,2822565c-cea7-4112-b622-e546b42e8404,9e4d73d5f4e67fca90d3cf1c500db2572e139ae9,2023-10-26T19:02:36.312Z
3601,2023-10-08T00:00:00.000Z,TROPICAL STORM BOLAVEN,2023-10-08T00:00:00.000Z,2023-10-16T00:00:00.000Z,Emergency,GU,Guam                          ,Tropical Storm,2023-10-09T00:00:00.000Z,2023-10-30T00:00:00.000Z,,9,0,0,1,0,0c689db0-bf2e-4f6f-88e8-add41c59a15e,fb23574e3c35e18b39a40fa1ca1808b133452dd5,2023-10-30T14:21:27.067Z
3602,2023-10-08T00:00:00.000Z,TROPICAL STORM BOLAVEN,2023-10-09T00:00:00.000Z,2023-10-16T00:00:00.000Z,Emergency,MP,Northern Mariana Islands      ,Tropical Storm,2023-10-09T00:00:00.000Z,2023-10-30T00:00:00.000Z,,9,0,0,1,0,d6d88c77-b3d3-4822-b348-9ba8471aa82d,7f0e3326f7d91e54963112561026c9aa4d256f32,2023-10-30T14:21:27.067Z
