agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
TRUE,2020-01-22T16:55:53.194Z,-1,1,8,1998-02-07T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,4,TRUE,10,1,1963-01-01T00:00:00.000Z,1997-01-11T00:00:00.000Z,NA,NA,NA,TRUE,7,TRUE,200000,50000,1998,TRUE,382,0,0,937,1,N,0,0,0,0,0,NA,612,0,0,TRUE,Pineapple Express - Southern,15000,0,060294,NA,"OCEANSIDE, CITY OF",97,01,1,937,0,A,TRUE,0,NA,0,FALSE,CA,Currently Unavailable,92056,06073,06073018512,060730185123,33.2,-117.3,60e7fb9f-c896-451a-922f-1c9a277d0139
TRUE,2020-01-22T16:55:53.194Z,-1,1,9,1998-09-28T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,10,1,1972-01-01T00:00:00.000Z,1997-07-24T00:00:00.000Z,8813.21,1720,0,TRUE,1,TRUE,100000,50000,1998,TRUE,9313,0,8813.21,80000,1,N,2220,0,1720,0,0,NA,133,0,0,TRUE,Hurricane Georges (Panhandle),15000,0,120274,NA,SANTA ROSA COUNTY *,NA,NA,1,100000,0,A,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32566,12113,12113010815,121130108152,30.4,-86.9,9621c25b-a46e-4295-8843-cc61a1d3fd66
TRUE,2019-09-19T13:45:58.425Z,1,1,9,1994-10-07T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,10,1,1960-01-01T00:00:00.000Z,1993-10-01T00:00:00.000Z,2906,0,0,TRUE,7,TRUE,100000,25000,1994,TRUE,4428,0,2906,100000,1,N,0,0,0,0,0,NA,0,0,0,TRUE,NA,0,0,450026,NA,"BEAUFORT, CITY OF",97,NA,1,0,0,A,TRUE,0,NA,0,FALSE,SC,Currently Unavailable,29902,45013,45013000700,450130007002,32.4,-80.7,098f65b9-09aa-4d92-8329-8649f5d9ff0b
TRUE,2019-09-19T13:45:58.425Z,-1,1,8,1996-03-11T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,0,1,1988-01-01T00:00:00.000Z,1996-01-11T00:00:00.000Z,3875.53,1545,0,TRUE,7,TRUE,100000,25000,1996,TRUE,5252,0,3875.53,100000,1,N,3115,0,1545,0,0,NA,0,0,0,TRUE,NA,0,0,125092,NA,BREVARD COUNTY *,NA,NA,1,0,0,A,TRUE,0,NA,1,FALSE,FL,Currently Unavailable,32940,12009,12009063107,120090631073,28.3,-80.7,30867391-31fc-4881-9a21-2ab271efd575
TRUE,2020-01-22T16:55:53.194Z,-1,1,-1,1998-02-03T00:00:00.000Z,TRUE,NA,-1,NA,AE,TRUE,-1,NA,NA,1,TRUE,10,1,1970-01-01T00:00:00.000Z,1995-12-03T00:00:00.000Z,14985.92,1510,0,TRUE,1,TRUE,88000,12600,1998,TRUE,15735,9,14985.92,66000,1,N,2260,9,1510,0,0,NA,119,0,0,TRUE,Flooding,15000,0,515531,NA,"VIRGINIA BEACH, CITY OF",NA,NA,1,88000,0,A,TRUE,0,NA,0,FALSE,VA,Currently Unavailable,23451,51810,51810043600,518100436002,36.9,-76,0f21fd5d-6d5f-41bc-8bcb-f34e4c7839e9
TRUE,2020-01-22T16:55:53.194Z,-1,1,5,2017-08-27T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,0,1,1974-01-01T00:00:00.000Z,1989-10-09T00:00:00.000Z,195857.44,0,0,TRUE,1,TRUE,250000,100000,2017,TRUE,197107,F,195857.44,482982,2,N,0,F,0,0,0,NA,682,0,0,TRUE,Hurricane Harvey,30000,0,480296,480296,"HOUSTON, CITY OF",08,NA,1,556285,0,A,TRUE,0,AE,1,FALSE,TX,Currently Unavailable,77096,48201,48201420700,482014207003,29.7,-95.5,df109f22-d6e5-4b5c-9916-51d51bb51c30
TRUE,2019-10-19T03:42:08.849Z,-1,1,8,1998-09-28T00:00:00.000Z,TRUE,NA,-1,NA,AE,TRUE,4,NA,NA,2,TRUE,10,3,1973-01-01T00:00:00.000Z,1996-03-14T00:00:00.000Z,2389,0,0,TRUE,1,TRUE,35000,35000,1998,TRUE,3139,9,2389,30450,1,U,0,9,0,0,0,NA,133,0,0,TRUE,Hurricane Georges (Panhandle),0,0,125129,NA,MONROE COUNTY*,97,NA,1,35000,0,A,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,33050,12087,12087971200,120879712001,24.7,-81.1,e480d944-a75a-4e5b-a74d-4a35b4ecb75c
TRUE,2019-09-19T17:00:12.388Z,-1,1,8,1995-03-11T00:00:00.000Z,TRUE,NA,-1,NA,AE,TRUE,-1,NA,NA,1,TRUE,10,1,1957-01-01T00:00:00.000Z,1993-11-29T00:00:00.000Z,12737.86,6177.3,0,TRUE,1,TRUE,72500,35000,1995,TRUE,16135,9,12737.86,72500,1,N,8055,9,6177.3,0,0,NA,580,0,0,TRUE,Flooding,0,0,060195,NA,MONTEREY COUNTY *,NA,NA,1,0,0,A,TRUE,0,NA,0,FALSE,CA,Currently Unavailable,93923,06053,06053011602,060530116022,36.5,-121.9,74c70d39-7e22-456d-8f3e-cc033ae4a9c5
TRUE,2020-01-22T16:55:53.194Z,1,1,8,2008-08-18T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,0,1,1974-01-01T00:00:00.000Z,2008-08-01T00:00:00.000Z,11366.95,0,0,TRUE,1,TRUE,250000,100000,2008,TRUE,11867,0,11366.95,129715,2,N,0,0,0,0,0,NA,220,0,0,TRUE,Tropical Storm Fay,30000,0,120286,NA,"FORT PIERCE, CITY OF",06,NA,1,255516,0,A,TRUE,2,NA,0,FALSE,FL,Currently Unavailable,34981,12111,12111381402,121113814021,27.4,-80.4,bce1fa8a-d176-409b-96c8-fa0565b33ea3
TRUE,2019-09-19T17:00:12.388Z,2,1,9,1995-10-05T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,60,1,1950-01-01T00:00:00.000Z,1992-11-01T00:00:00.000Z,4705.63,0,0,TRUE,1,TRUE,40000,0,1995,TRUE,5205,0,4705.63,40000,1,N,0,0,0,0,0,NA,586,0,0,TRUE,Hurricane Opal,0,0,120080,NA,ESCAMBIA COUNTY*,NA,NA,1,0,0,R,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32507,12033,12033002300,120330023005,30.4,-87.3,733b9d61-c066-46d2-8543-c62ce258c04a
