disasterNumber,stateCode,incidentType,declarationType,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp
4734,FL,Hurricane,Major Disaster,NA,NA,NA,NA,294376195.9,274661304.5,3086.25,3210378.19
4738,GA,Hurricane,Major Disaster,NA,NA,NA,NA,11590253.2,10250260.29,12787.5,0
4744,VT,Flood,Major Disaster,NA,NA,NA,NA,101696.07,18867.75,0,0
4745,MT,Flood,Major Disaster,NA,NA,NA,NA,343454.66,87967.48,115839,0
3399,HI,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4120,VT,Flood,Major Disaster,NA,NA,NA,NA,1914682.79,156257.5,1714406.99,274639.01
4724,HI,Fire,Major Disaster,NA,NA,NA,NA,163789571.7,110881046.3,45554091.01,0
4288,WI,Flood,Major Disaster,NA,NA,NA,NA,9038145.25,524284.1,8229080.8,1534196.17
4746,CA,Tropical Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4728,IL,Severe Storm,Major Disaster,NA,NA,NA,NA,6332244.53,2534756.17,2170600.7,0
4740,NH,Flood,Major Disaster,NA,NA,NA,NA,499712.49,18027.42,311009.22,0
4673,FL,Hurricane,Major Disaster,NA,NA,NA,NA,2103296546,1996564701,56222600.08,10435178.48
1968,CA,Tsunami,Major Disaster,NA,NA,NA,NA,37703713.52,9391241.13,27270667.39,4257267.97
3601,GU,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3602,MP,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4730,AK,Flood,Major Disaster,NA,NA,NA,NA,450706.65,NA,359839.5,0
4292,PA,Flood,Major Disaster,NA,NA,NA,NA,25541185.85,1319866.18,23835424.48,3141703.03
4731,CO,Flood,Major Disaster,NA,NA,NA,NA,2821536.01,67325.16,2036010.8,0
3485,NM,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3563,RI,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4748,AR,Severe Storm,Major Disaster,NA,NA,NA,NA,390991.14,3106.84,NA,0
5155,CO,Fire,Fire Management,NA,NA,NA,NA,1143555.26,NA,NA,316730.66
1605,AL,Hurricane,Major Disaster,NA,NA,NA,NA,118841849,51144382.5,64892845.78,59190787.04
3412,KS,Severe Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3548,MS,Hurricane,Emergency,NA,NA,NA,NA,83091.21,81291.3,NA,NA
5441,AZ,Fire,Fire Management,NA,NA,NA,NA,390871.07,20851.81,NA,0
5435,AZ,Fire,Fire Management,NA,NA,NA,NA,4072541.39,NA,NA,0
5434,AZ,Fire,Fire Management,NA,NA,NA,NA,1027110.45,57906.64,NA,126226
5387,AZ,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5385,AZ,Fire,Fire Management,NA,NA,NA,NA,572925.79,31256.69,NA,0
4749,IL,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
3524,IA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4386,IA,Severe Storm,Major Disaster,NA,NA,NA,NA,15302173.31,2816016.53,11517612.62,3840452.46
5389,AZ,Fire,Fire Management,NA,NA,NA,NA,6511218.25,59668.68,NA,0
5295,CA,Fire,Fire Management,NA,NA,NA,NA,63051706.37,6766023.8,NA,0
5294,HI,Fire,Fire Management,NA,NA,NA,NA,110836.8,9740.22,NA,0
5293,CA,Fire,Fire Management,NA,NA,NA,NA,12048528.2,728556.18,NA,1409582.3
5333,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5332,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5329,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4750,CA,Hurricane,Major Disaster,NA,NA,NA,NA,5092523.13,0,NA,0
5462,NE,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5460,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5459,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5458,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5440,TX,Fire,Fire Management,NA,NA,NA,NA,371317.37,88333.95,NA,0
5421,OK,Fire,Fire Management,NA,NA,NA,NA,195815.29,12002.85,NA,117851
5288,TX,Fire,Fire Management,NA,NA,NA,NA,2658681.22,17115.17,NA,533690.83
5303,CA,Fire,Fire Management,NA,NA,NA,NA,510188.16,154624.67,NA,0
5302,CA,Fire,Fire Management,NA,NA,NA,NA,6976436.27,254101.83,NA,0
5301,CA,Fire,Fire Management,NA,NA,NA,NA,115842.41,30628.69,NA,0
5300,CA,Fire,Fire Management,NA,NA,NA,NA,707892.1,31232.28,NA,0
5299,CA,Fire,Fire Management,NA,NA,NA,NA,393237.24,23712.84,NA,0
5298,CA,Fire,Fire Management,NA,NA,NA,NA,4621331.42,266576.94,NA,0
5297,CA,Fire,Fire Management,NA,NA,NA,NA,6838617.44,738040.19,NA,0
5296,CA,Fire,Fire Management,NA,NA,NA,NA,5580712.68,340429.73,NA,0
5452,ID,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5449,ID,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,248454.78
3600,LA,Other,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4216,KY,Snowstorm,Major Disaster,NA,NA,NA,NA,4314738.44,2843289.44,1335841.56,514543.17
5430,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,228759.53
3493,NE,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3582,MS,Other,Emergency,NA,NA,NA,NA,2947746.78,2942153.03,NA,NA
4747,KS,Severe Storm,Major Disaster,NA,NA,NA,NA,0,0,NA,0
3510,NM,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5095,AZ,Fire,Fire Management,NA,NA,NA,NA,484775.83,60497.74,NA,290927.42
5086,AZ,Fire,Fire Management,NA,NA,NA,NA,912000.51,20640.11,NA,144710.56
5313,AZ,Fire,Fire Management,NA,NA,NA,NA,666292.63,NA,NA,0
4752,UT,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
1967,HI,Tsunami,Major Disaster,NA,NA,NA,NA,7050406.37,752823.79,6218843.73,851500
4237,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,474007.95
5197,MT,Fire,Fire Management,NA,NA,NA,NA,1495224.55,13989.02,NA,0
4328,OR,Severe Storm,Major Disaster,NA,NA,NA,NA,2962549.72,1903124.39,964504.33,232980.47
5448,NV,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,56700
5402,NV,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5480,MT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5423,CO,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5406,MT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5399,MT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5438,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5437,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5433,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5432,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5431,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5456,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5455,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5447,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5478,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5477,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5476,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5475,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4031,NY,Severe Storm,Major Disaster,NA,NA,NA,NA,320422177,39203988.26,276323764.4,26418205.34
5390,NV,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5436,NE,Fire,Fire Management,NA,NA,NA,NA,1231215.45,NA,NA,17708
5425,KS,Fire,Fire Management,NA,NA,NA,NA,464403.62,59032.61,NA,516873.5
5454,OR,Fire,Fire Management,NA,NA,NA,NA,93329.98,0,NA,0
5442,AK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5357,OR,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
3522,LA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4232,VT,Severe Storm,Major Disaster,NA,NA,NA,NA,1326573.48,26008.29,1250043.19,141656.7
4089,RI,Hurricane,Major Disaster,NA,NA,NA,NA,8734303.07,4789849.95,3621726.12,1213946.54
1949,VI,Severe Storm,Major Disaster,NA,NA,NA,NA,837036.96,139605.49,630147.47,156373
1939,VI,Hurricane,Major Disaster,NA,NA,NA,NA,908945.77,623399.76,270882.07,182310
1807,VI,Hurricane,Major Disaster,NA,NA,NA,NA,7256252.51,5109636.26,1964392.59,824950
5249,CO,Fire,Fire Management,NA,NA,NA,NA,2349031.77,11751.88,NA,0
5248,UT,Fire,Fire Management,NA,NA,NA,NA,15047522.76,232314,NA,0
5246,CO,Fire,Fire Management,NA,NA,NA,NA,16270482.58,34072.55,NA,0
1895,MA,Severe Storm,Major Disaster,NA,NA,NA,NA,25084370.59,12005581.82,12858213.19,10908419.35
3603,VI,Other,Emergency,NA,NA,NA,NA,506422.8,506422.8,NA,NA
3604,CT,Severe Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3570,OK,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4754,ME,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
3530,TX,Hurricane,Emergency,NA,NA,NA,NA,2208510.74,2085708.08,NA,NA
5162,SC,Fire,Fire Management,NA,NA,NA,NA,3336432.89,NA,NA,222771.45
4340,VI,Hurricane,Major Disaster,NA,NA,NA,NA,8652501279,1783876600,6014992871,169138804.2
4335,VI,Hurricane,Major Disaster,NA,NA,NA,NA,66173230.39,54555593.89,6090120.84,29244881.39
1946,PR,Severe Storm,Major Disaster,NA,NA,NA,NA,17541820.75,444762.01,16504549,288278
5486,LA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5484,LA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5446,OR,Fire,Fire Management,NA,NA,NA,NA,933444.35,NA,NA,254063.84
5367,OR,Fire,Fire Management,NA,NA,NA,NA,140176.05,NA,NA,0
4751,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4756,WV,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4757,MI,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4755,NY,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4753,RI,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4021,NJ,Hurricane,Major Disaster,NA,NA,NA,NA,122651525.6,61673820.17,57156658.82,34929457.75
1830,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,29675993.97,9311835.82,19243999.22,3063408
1805,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,38841921.56,32124189.94,6349045.86,4713715
1771,IL,Severe Storm,Major Disaster,NA,NA,NA,NA,53407870.95,26389243.37,26645847.98,6066205
1768,WI,Severe Storm,Major Disaster,NA,NA,NA,NA,48563081.65,13669669.95,34007466,18525751
1717,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,31229991.27,5020333.38,26018147.42,4153948
1580,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,97938844.86,15498901.21,82705823.9,5694936
1556,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,25804256.17,4029934.14,21814740.52,2541082
1453,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,31856038.61,13005035.17,18927692.15,2108337
1419,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,26435703.2,3849174.16,22397523.78,5840208
1370,MN,Flood,Major Disaster,NA,NA,NA,NA,36227572.27,8928827.59,27261029.27,5117141
1369,WI,Flood,Major Disaster,NA,NA,NA,NA,19743137.17,11692409.39,8072012.75,3344251
4077,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,16595662.54,10321385.81,5912592.15,3299351
4002,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,32964612.36,1252767.5,31075830.98,4510495
1982,MN,Flood,Major Disaster,NA,NA,NA,NA,20249390.34,8967827.81,10654952.85,574042
1960,IL,Snowstorm,Major Disaster,NA,NA,NA,NA,48259660.62,46468123.86,1242496.24,4512689.89
1941,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,25078569.96,4190685.38,20063150.44,996035
1702,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,6226611.95,455841.49,5722423.08,2021318
1628,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,154939297.1,28269857.08,118563720.7,5236367.56
