id,declarationTitle,incidentType,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate
e46df225-24a5-4178-9368-0f1c753f8748,LAS TUSAS FIRE,Fire,NM,FM,2023-05-10,2023-05-10,NA
c8660535-8995-4187-af20-771b5669d4b7,LAS TUSAS FIRE,Fire,NM,FM,2023-05-10,2023-05-10,NA
9b9a9d9c-8b03-4049-9b16-a3c0d581556c,QUEENS RIVER FIRE,Fire,RI,FM,2023-04-14,2023-04-14,2023-04-16
57d936ce-a0d7-412a-9d78-18aee530c146,HADDAM FIRE,Fire,KS,FM,2023-04-13,2023-04-13,2023-04-16
69325b2c-77cf-493f-8f1a-d5b5a737edf8,WACONDA-BEAVER LAKE FIRE COMPLEX,Fire,NE,FM,2023-04-09,2023-04-08,NA
16917f63-1b8e-418d-958b-c3f9f850423d,"ECHO RIDGE FIRE, NM FMAG",Fire,NM,FM,2023-04-02,2023-04-02,NA
94f3b844-0e8f-4fdd-8375-9329e1af512a,"GAP ROAD FIRE, OKLAHOMA FMAG",Fire,OK,FM,2023-03-31,2023-03-31,NA
e1c295fc-08e3-4776-9fbf-217f4928b38b,"HEFNER FIRE, OKLAHOMA FMAG",Fire,OK,FM,2023-03-31,2023-03-31,NA
4469a003-2c67-47f3-9673-ceb101ad7e10,"SIMPSON FIRE, OKLAHOMA FMAG",Fire,OK,FM,2023-03-31,2023-03-31,NA
4bd093a2-ebcf-48d0-b05a-bb7e77e28546,NAKIA CREEK FIRE,Fire,WA,FM,2022-10-17,2022-10-09,NA
0057f917-4982-456e-8a69-ffeef1810b09,NAKIA CREEK FIRE,Fire,WA,FM,2022-10-17,2022-10-09,NA
4a2bdfa4-c58c-411a-8cfe-314434a8efe4,BOLT CREEK FIRE,Fire,WA,FM,2022-09-10,2022-09-10,NA
d1fa7663-77d4-4f50-a871-8f680dfe2278,BOLT CREEK FIRE,Fire,WA,FM,2022-09-10,2022-09-10,NA
c4850ea2-3ff2-4de1-8124-686a9636f147,MILO MCIVER FIRE,Fire,OR,FM,2022-09-10,2022-09-10,NA
7efda5df-b5cf-47e5-9739-9336596c84a7,ROSS FORK FIRE,Fire,ID,FM,2022-09-05,2022-09-05,NA
06a1a18f-bbb9-4002-8527-3e41b1fcd667,FOUR CORNERS FIRE,Fire,ID,FM,2022-08-19,2022-08-18,NA
fdcbf1c9-51dd-40c8-ae5c-a1607645a19b,FOUR CORNERS FIRE,Fire,ID,FM,2022-08-19,2022-08-18,NA
5f64c5a8-d918-4a08-ac80-38ea6111d410,FOUR CORNERS FIRE,Fire,ID,FM,2022-08-19,2022-08-18,NA
c20dbe34-1c92-456e-a542-871dfa98f109,JOY LAKE FIRE,Fire,NV,FM,2022-08-14,2022-08-14,NA
7031fde7-b8f3-4025-9abd-6555711e6665,LIND FIRE,Fire,WA,FM,2022-08-04,2022-08-04,NA
b28bde8a-be19-49f8-b77d-292df5c70779,MILLER ROAD FIRE,Fire,OR,FM,2022-08-03,2022-08-02,NA
57cd8ff3-7ea3-49f6-923c-0c2573fa6582,CHALK MOUNTAIN FIRE,Fire,TX,FM,2022-07-19,2022-07-18,2022-08-06
689b511c-20a5-4037-b326-9c7046bbb0bc,CHALK MOUNTAIN FIRE,Fire,TX,FM,2022-07-19,2022-07-18,2022-08-06
